hostname,acl-name,acl-type,seq number,action,protocol,source,destination,ports
uk-bfa-vg01,1,Standard,10,permit,,10.120.163.210,,,
uk-bfa-vg01,1,Standard,20,permit,,10.1.74.66,,,
uk-bfa-vg01,1,Standard,30,permit,,10.180.163.18,,,
uk-bfa-vg01,1,Standard,40,permit,,10.53.33.56,,,
uk-bfa-vg01,1,Standard,50,permit,,10.53.32.93,,,
uk-bfa-vg01,1,Standard,60,permit,,10.210.163.60,,,
uk-bfa-vg01,1,Standard,70,permit,,10.220.163.37,,,
uk-bfa-vg01,1,Standard,80,permit,,10.1.74.29,,,
uk-bfa-vg01,1,Standard,90,permit,,10.53.33.120,,,
uk-bfa-vg01,1,Standard,100,permit,,10.53.33.119,,,
uk-bfa-vg01,1,Standard,110,permit,,10.1.74.48,,,
uk-bfa-vg01,1,Standard,120,permit,,10.53.32.110,,,
uk-bfa-vg01,1,Standard,130,permit,,10.53.32.107,,,
uk-bfa-vg01,1,Standard,140,permit,,10.1.74.57,,,
uk-bfa-vg01,1,Standard,150,permit,,10.1.74.61,,,
uk-bfa-vg01,1,Standard,160,permit,,10.53.32.133,,,
uk-bfa-vg01,1,Standard,170,permit,,10.17.144.32,,,
uk-bfa-vg01,1,Standard,180,permit,,10.120.195.31,,,
uk-bfa-vg01,1,Standard,190,permit,,10.120.143.70,,,
uk-bfa-vg01,1,Standard,200,permit,,10.220.142.230,,,
uk-bfa-vg01,1,Standard,210,permit,,10.1.74.128,,,
uk-bfa-vg01,1,Standard,220,permit,,10.17.100.187,,,
uk-bfa-vg01,1,Standard,230,permit,,10.180.142.230,,,
uk-bfa-vg01,1,Standard,240,permit,,10.120.163.37,,,
uk-bfa-vg01,1,Standard,250,permit,,10.1.82.64 0.0.0.31,,,
uk-bfa-vg01,1,Standard,260,permit,,10.1.82.160 0.0.0.31,,,
uk-bfa-vg01,1,Standard,270,permit,,10.1.22.0 0.0.0.255,,,
uk-bfa-vg01,1,Standard,280,permit,,172.16.100.96 0.0.0.15,,,
uk-bfa-vg01,1,Standard,290,permit,,172.16.41.208 0.0.0.15,,,
uk-bfa-vg01,1,Standard,300,permit,,172.16.64.16 0.0.0.7,,,
uk-bfa-vg01,1,Standard,310,permit,,192.168.2.0 0.0.1.255,,,
uk-bfa-vg01,1,Standard,320,permit,,10.120.194.64 0.0.0.63,,,
uk-bfa-vg01,1,Standard,330,deny,,any log,,,
uk-bfa-vg01,5,Standard,10,permit,,194.74.144.0 0.0.0.255,,,
uk-bfa-vg01,5,Standard,20,permit,,62.239.34.0 0.0.0.255,,,
uk-bfa-vg01,5,Standard,30,permit,,62.239.35.0 0.0.0.255,,,
uk-bfa-vg01,5,Standard,40,permit,,194.102.6.0 0.0.0.255,,,
uk-bfa-vg01,5,Standard,50,permit,,194.102.7.0 0.0.0.255,,,
uk-bfa-vg01,5,Standard,60,permit,,194.102.8.0 0.0.0.255,,,
uk-bfa-vg01,5,Standard,70,permit,,194.102.9.0 0.0.0.255,,,
uk-bfa-vg01,5,Standard,80,permit,,194.102.19.0 0.0.0.255,,,
uk-bfa-vg01,5,Standard,90,deny,,any,,,
uk-bfa-vg01,7,Standard,10,deny,,any,,,
uk-bfa-vg01,10,Standard,10,permit,,10.112.12.126,,,
uk-bfa-vg01,10,Standard,20,permit,,10.112.12.125,,,
uk-bfa-vg01,10,Standard,30,permit,,10.120.163.123,,,
uk-bfa-vg01,10,Standard,40,permit,,10.120.163.122,,,
uk-bfa-vg01,10,Standard,50,permit,,10.120.163.59,,,
uk-bfa-vg01,10,Standard,60,deny,,any log,,,
uk-bfa-vg01,11,Standard,10,permit,,10.120.136.140,,,
uk-bfa-vg01,11,Standard,20,deny,,any log,,,
uk-bfa-vg01,19,Standard,10,permit,,172.16.41.192 0.0.0.31,,,
uk-bfa-vg01,19,Standard,20,permit,,10.1.82.64 0.0.0.31,,,
uk-bfa-vg01,99,Standard,10,permit,,10.2.0.252,,,
uk-bfa-vg01,99,Standard,20,permit,,10.2.0.254,,,
